"","date","dat$`Lufttemperatur (°C)`","dat$`Windböen (max) 10 min. (m/s)`","dat$`Windstärke Ø 10 min. (bft)`","dat$`Taupunkt (°C)`","dat$`Niederschlag (mm)`","dat$`Luftdruck QFE (hPa)`","dat$`Luftfeuchte (%)`","total","mean"
"346",2016-01-16 16:00:00,0.966666666666667,4.75,1.66666666666667,-1.45,0,974.416666666667,83.6666666666667,422024,38.1094455481308
"347",2016-01-16 17:00:00,0.95,6.7,2.16666666666667,-1.78333333333333,0,974.616666666667,82,577772,52.3012582601611
"348",2016-01-16 18:00:00,0.616666666666667,6.28333333333333,2,-1.9,0,974.733333333333,83.3333333333333,581465,52.759731421831
"349",2016-01-16 19:00:00,0.4,5.53333333333333,2,-1.68333333333333,0,974.983333333333,86.1666666666667,487372,44.9646646369591
"350",2016-01-16 20:00:00,0.5,6.26666666666667,2,-1.85,0,974.983333333333,84.3333333333333,445112,45.8122684232194
"351",2016-01-16 21:00:00,0.483333333333333,5.28333333333333,2,-2.2,0,974.866666666667,81.8333333333333,308604,38.4505357587839
"352",2016-01-16 22:00:00,0.583333333333333,5.11666666666667,1.83333333333333,-2.8,0,974.733333333333,77.8333333333333,315704,39.8163702862908
"353",2016-01-16 23:00:00,0.35,6.48333333333333,2.16666666666667,-2.9,0,974.883333333333,79,311248,39.5436412145852
"354",2016-01-17 00:00:00,-0.05,4.91666666666667,1.83333333333333,-3.23333333333333,0,975.35,79,206712,36.4571428571429
"355",2016-01-17 01:00:00,-0.35,3.88333333333333,1.5,-3.78333333333333,0,975.45,77.6666666666667,7284,55.6030534351145
"356",2016-01-17 04:00:00,-0.466666666666667,6.08333333333333,2,-4.7,0,974.6,73,2699,24.5363636363636
"357",2016-01-17 05:00:00,-0.816666666666667,6.38333333333333,2,-4.21666666666667,0,974.1,77.5,84940,22.6809078771696
"358",2016-01-17 06:00:00,-0.916666666666667,6.48333333333333,1.83333333333333,-3.55,0,973.683333333333,82,95981,18.8419709462112
"359",2016-01-17 07:00:00,-0.866666666666667,9.28333333333333,2.5,-3.41666666666667,0,973.533333333333,83,118193,21.4740188953488
"360",2016-01-17 08:00:00,-0.633333333333333,10.0666666666667,3,-3.45,0,973.3,81.1666666666667,140856,23.8012842176411
"361",2016-01-17 09:00:00,-0.7,9.3,2.66666666666667,-3.05,0,973.333333333333,84,215322,33.3161070710197
"362",2016-01-17 10:00:00,-0.4,8.76666666666667,2.66666666666667,-2.9,0,973.566666666667,83,192027,24.1239949748744
"363",2016-01-17 11:00:00,0.8,7.81666666666667,2.66666666666667,-2.33333333333333,0.1,973.766666666667,79.5,214724,26.323893588329
"364",2016-01-17 12:00:00,-0.3,6.3,2.16666666666667,-1.15,0.1,973.533333333333,94,438228,55.3877654196158
"365",2016-01-17 13:00:00,-0.333333333333333,6.61666666666667,2.33333333333333,-2,0.5,973.5,88.6666666666667,584997,75.1634331234742
"366",2016-01-17 14:00:00,0.65,5.98333333333333,2,-2.55,0.5,973.9,79.5,451958,58.8180635085893
"367",2016-01-17 15:00:00,-0.216666666666667,4.23333333333333,1.83333333333333,-1.3,0,974.183333333333,92.3333333333333,482065,61.1059703384459
"368",2016-01-17 16:00:00,-0.05,4.36666666666667,2,-2.13333333333333,0,974.716666666667,85.6666666666667,459637,56.3349675205295
"369",2016-01-17 17:00:00,-1.46666666666667,2.93333333333333,1.5,-3.98333333333333,0,975.383333333333,83,555310,68.2199017199017
"370",2016-01-17 18:00:00,-2.43333333333333,2.76666666666667,1.83333333333333,-4.51666666666667,0,975.916666666667,85.6666666666667,555444,68.0107750704053
"371",2016-01-17 19:00:00,-2.9,2.48333333333333,1.33333333333333,-4.93333333333333,0,976.266666666667,86,330625,40.5426118945432
"372",2016-01-17 20:00:00,-3.55,1.73333333333333,1,-5,0,976.4,89.6666666666667,338111,41.1677827833922
"373",2016-01-17 21:00:00,-3.75,2.11666666666667,1.33333333333333,-5.05,0,976.1,90.6666666666667,279090,34.9211711711712
"374",2016-01-17 22:00:00,-4.01666666666667,2.38333333333333,1.5,-5.26666666666667,0,975.716666666667,90.8333333333333,224596,28.8943779750418
"375",2016-01-17 23:00:00,-4.61666666666667,2.45,1.66666666666667,-5.63333333333333,0,975.233333333333,92.3333333333333,203903,33.8203682202687
"376",2016-01-18 00:00:00,-4.88333333333333,3.1,2,-5.8,0,974.816666666667,93.1666666666667,109942,24.1153761789866
"377",2016-01-18 01:00:00,-5.18333333333333,3.18333333333333,2,-6.13333333333333,0,974.4,93.3333333333333,1340,11.2605042016807
"378",2016-01-18 04:00:00,-6.43333333333333,2.28333333333333,1.66666666666667,-7.15,0,972.7,94.5,2791,21.8046875
"379",2016-01-18 05:00:00,-6.03333333333333,4.21666666666667,2,-6.91666666666667,0,971.933333333333,93.5,232545,45.8126477541371
"380",2016-01-18 06:00:00,-5.96666666666667,4.4,2.33333333333333,-7.28333333333333,0,971.466666666667,90.5,723381,61.8168689112972
"381",2016-01-18 07:00:00,-5.73333333333333,4.88333333333333,2.33333333333333,-7.03333333333333,0,971.283333333333,90.5,1007366,73.621720382957
"382",2016-01-18 08:00:00,-5.45,4.18333333333333,1.83333333333333,-7.15,0,971.033333333333,88,1229406,93.2923053574139
"383",2016-01-18 09:00:00,-4.01666666666667,3.63333333333333,1.66666666666667,-7.03333333333333,0,970.733333333333,79.5,598704,52.1655484882809
"384",2016-01-18 10:00:00,-2.73333333333333,4.41666666666667,2,-7.9,0,970.083333333333,67.6666666666667,422835,37.4554876428382
"385",2016-01-18 11:00:00,-2.36666666666667,2.91666666666667,1.66666666666667,-7.65,0,969.483333333333,67.1666666666667,409034,36.019196900317
"386",2016-01-18 12:00:00,-1.6,3.63333333333333,1.83333333333333,-6.98333333333333,0,968.75,66.6666666666667,429167,36.9271209774565
"387",2016-01-18 13:00:00,-1.78333333333333,3.65,1.66666666666667,-7.26666666666667,0,968.25,66.3333333333333,496282,42.8679277878552
"388",2016-01-18 14:00:00,-2.81666666666667,3.13333333333333,1.5,-7.66666666666667,0,967.783333333333,69.1666666666667,433119,38.2546369899311
"389",2016-01-18 15:00:00,-2.48333333333333,2.1,1,-7.66666666666667,0,967.583333333333,67.5,558987,48.1470284237726
"390",2016-01-18 16:00:00,-2.56666666666667,2.18333333333333,1,-7.55,0,967.516666666667,68.6666666666667,599199,44.9815329179491
"391",2016-01-18 17:00:00,-3.76666666666667,2.01666666666667,1.16666666666667,-7.8,0,967.366666666667,73.5,905304,66.0372018382085
"392",2016-01-18 18:00:00,-4.03333333333333,3.08333333333333,1.5,-7.8,0,967.25,75,844089,63.0246397371761
"393",2016-01-18 19:00:00,-3.86666666666667,3.3,2,-8.15,0,966.983333333333,72.1666666666667,500195,42.3427579784983
"394",2016-01-18 20:00:00,-4.7,2.88333333333333,1.66666666666667,-7.66666666666667,0,966.933333333333,79.6666666666667,464972,44.2493338408831
"395",2016-01-18 21:00:00,-4.98333333333333,3.1,2,-7.81666666666667,0,966.783333333333,80.6666666666667,349050,41.8224299065421
"396",2016-01-18 22:00:00,-5.2,2.93333333333333,2,-7.85,0,966.783333333333,81.5,282248,35.7095141700405
"397",2016-01-18 23:00:00,-5.28333333333333,2.83333333333333,2,-7.78333333333333,0,966.8,82.5,163971,26.6186688311688
"398",2016-01-19 00:00:00,-4.98333333333333,2.91666666666667,2,-7.53333333333333,0,966.566666666667,82.1666666666667,97375,20.9453645945365
"399",2016-01-19 01:00:00,-4.8,2.68333333333333,1.83333333333333,-7.5,0,966.266666666667,81.3333333333333,2319,18.4047619047619
"400",2016-01-19 04:00:00,-4.21666666666667,2.28333333333333,1.33333333333333,-7.15,0,965.783333333333,80,2973,23.2265625
"401",2016-01-19 05:00:00,-3.98333333333333,1.81666666666667,1,-6.96666666666667,0,965.866666666667,79.8333333333333,172151,32.9917592947489
"402",2016-01-19 06:00:00,-3.68333333333333,1.61666666666667,1,-6.75,0,965.883333333333,79,589626,47.8088056433958
"403",2016-01-19 07:00:00,-3.01666666666667,1.51666666666667,0.833333333333333,-5.96666666666667,0,966.166666666667,79.8333333333333,866893,62.8365468251667
